ID,id_article,id_experiment,publication_year,Authors,language,document_type,doi,Book_DOI,Commentaires,experiment_type,control_Land_Use,control_type,control_Comment,control_species,control_NB_species,control_N_Woody,control_N_herb,control_N2_fixing,treatment_Land_Use,NEW_treatment_type,main_culture,Notes,treatment_species,treatment_NB_species,treatment_N_Woody,treatment_N_herb,treatment_N2_fixing,density,Organic_management,info,Confunding_factors,country,latitude,longitude,Y_(WGS84),X_(WGS84),altitude,precipitation,temperature,climate,soil_type,soil_depth_start,soil_depth_end,Thickness,Bulk_density_C,Coarse_fragment_C,Bulk_density_T,Coarse_fragment_T,Design,time_since_conversion,history,history_C,history_T,control_replicate_nb,treatment_replicate_nb,Table/Fig,Transformation,soc_unit_control,...60,control_soc_mean,control_soc_sd,control_soc_sd_F,control_soc_mean_T_ha,control_soc_sd_T_ha,treatment_soc_mean,treatment_soc_sd,treatment_soc_sd_F,treatment_soc_mean_T_ha,treatment_soc_sd_T_ha,delta_stock_C.yr,delta_stock_T.yr,Keep_ratio,Ratio,Ratio_vi,Keep_rate,Crate,Crate_vi,...79,delta_stock_T,Temperature_Wordclim,Precipitation_Wordclim,ETP_Wordclim,FAO_Climate,MEAN_depth,depth_diff,Depthfrom_zero,MEAN_depthD,lon,lat,main_culture2,NEW_treatment_type2,diff_species,diff_species_class,Grouped_Design,History_reclass,depth_group,treatment_soc_sd_T_ha_imputed,control_soc_sd_T_ha_imputed,seq_rate,seq_rate_sd,seq_rate_vi
1,5,1,2019,"Aryal, Deb R.; Gomez-Gonzalez, Rogelio R.; Hernandez-Nuriasmu, Rodrigo; Morales-Ruiz, Danilo E.",English,Article,10.1007/s10457-018-0310-y,http://dx.doi.org/10.1007/s10457-018-0310-y,"We have the Pastureland age but not the SAF age. We don't have the SD but the SE for the SOC. AGB doesn't take in count the litter biomass, just the grass and trees biomass. The biomass DATA is already converted in carbon. No need to make any calcul here.",LMP,Grassland,Full sun,NA,"Cynodon dactylon,Cynodon plectostachyus,Hiparrhenia rufa",3,0,3,0,grassland,SilvoPasture,Pasture,NA,"Cynodon dactylon,Cynodon plectostachyus,Hiparrhenia rufa,Acacia farnesiana,Alvaradoa amorphoides,Astronium graveolens,Bumelia Celastrina,Bursera copallifera,Bursera excelsa,Byrsonima crassifolia,Ceiba aesculifolia,Clethra mexicana,Cochlospermum vitifolium,Comacladia guatemalensis,Haematoxilum brasiletto,Leucaena leucocephala,Lysiloma acapulcense,Payena lucida,Pimenta dioica,Pithecellobium dulce,Swietenia macrophylla,Thevetia thevetioides,Tabebuia dominguensis",23,20,3,4,282,NO,NA,NA,Mexico,16°37'N,93°06'W,16.6166666666667,-93.1,494.5,1150,23,NA,Leptosols,0,15,15,110,40,130,39,CI,12.4,Maize cutivation for 10–15 years,cropland,cropland,10,10,Table 2,SE,t C ha-1,Done,"61,52","6,94 SE","21,95",61.52,21.95,"89,72","5,54 SE","17,52",89.72,17.52,NA,NA,YES,"0,3773313845","0,01653860842",YES,"2,274193548",NA,NA,NA,237,140,1861,Tropical Moist,7.5,15,TRUE,"(5,10]",-93.1,16.6166666666667,Pasture,SilvoPasture,20,C+2+,Control-Impact Designs,Cropland,"[0,15)",FALSE,FALSE,2.2741935483870965,2.264898787860239,5.129766519250779
2,5,2,2019,"Aryal, Deb R.; Gomez-Gonzalez, Rogelio R.; Hernandez-Nuriasmu, Rodrigo; Morales-Ruiz, Danilo E.",English,Article,10.1007/s10457-018-0310-y,http://dx.doi.org/10.1007/s10457-018-0310-y,"We have the Pastureland age but not the SAF age. We don't have the SD but the SE for the SOC. AGB doesn't take in count the litter biomass, just the grass and trees biomass. The biomass DATA is already converted in carbon. No need to make any calcul here.",LMP,Grassland,Full sun,NA,"Cynodon plectostachyus,Brachiaria dictyoneura,Hiparrhenia rufa",3,0,3,0,grassland,SilvoPasture,Pasture,NA,"Cynodon plectostachyus,Brachiaria dictyoneura,Hiparrhenia rufa,Acacia farnesiana,Bucida buceras,Bursera graveolens,Byrsonima crassifolia,Cordia alliodora,Cordia dentata,Gliricidia sepium,Guazuma ulmifolia,Heliocarpus donell,Inga edulis,Leucaena leucocephala,Licania arborea,Pithecellobium dulce,Swietenia macrophylla",17,14,3,4,118,NO,NA,NA,Mexico,16°37'N,93°06'W,16.6166666666667,-93.1,591,1750,21,NA,Leptosols,0,15,15,110,40,80,110,CI,36.9,Maize for 10–15 years and 1–3 years of cotton cultivation,cropland,cropland,10,10,Table 2,SE,t C ha-1,Done,"50,95","5,91 SE","18,69",50.95,18.69,"48,46","3,90 SE","12,33",48.46,12.33,NA,NA,YES,"-0,05010604428","0,01993191777",YES,"-0,0674796748",NA,NA,NA,237,140,1861,Tropical Moist,7.5,15,TRUE,"(5,10]",-93.1,16.6166666666667,Pasture,SilvoPasture,14,C+2+,Control-Impact Designs,Cropland,"[0,15)",FALSE,FALSE,-0.06747967479674802,0.6067949780742161,0.3682001454160884
35,7,35,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,1,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,10,10,81,43,73,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,estSD,t C ha-1,Done,"27,70",NA,NA,27.7,5.978655698030508,"25,30",NA,NA,25.3,4.39276790959671,0.596875,"0,34375",YES,"-0,09062801746",0,NO,NA,NA,NA,-0.25312500000000004,187,94,1592,Tropical Wet,5,10,TRUE,"(0,5]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,-0.25312500000000004,0.46368401595594017,0.21500286665302856
36,7,36,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,1,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,1,10,9,95,43,62,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,estSD,t C ha-1,Done,"25,10",NA,NA,25.1,5.417482239009594,"28,50",NA,NA,28.5,4.948374917925148,0.0546875,"0,3515625",YES,"0,1270362411",0,NO,NA,NA,NA,0.296875,187,94,1592,Tropical Wet,5.5,9,FALSE,"(5,10]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,0.296875,0.4585793625866428,0.2102950317903716
37,7,37,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,1,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,40,40,88,43,675,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,NA,t C ha-1,Done,"52,80","45 543,00","45 543,00",52.8,11.396137937040102,"53,90","8,90","8,90",53.9,8.9,0.6515625,"0,65",YES,"0,0206192872","248001,4306",NO,NA,NA,NA,-0.0015625000000000222,187,94,1592,Tropical Wet,20,40,TRUE,"(15,25]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[15,30)",FALSE,TRUE,-0.0015625000000000222,0.9037291661672895,0.8167264057814243
38,7,38,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,0,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,10,10,81,43,113,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,estSD,t C ha-1,Done,"27,70",NA,NA,27.7,5.978655698030508,"32,90",NA,NA,32.9,5.712334554376748,0.596875,"0,725",YES,"0,1720402446",0,NO,NA,NA,NA,0.12812499999999993,187,94,1592,Tropical Wet,5,10,TRUE,"(0,5]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,0.12812499999999993,0.5168076967091431,0.2670901953778096
39,7,39,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,0,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,1,10,9,95,43,90,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,estSD,t C ha-1,Done,"25,10",NA,NA,25.1,5.417482239009594,"41,00",NA,NA,41,7.118714794208107,0.0546875,"0,715625",YES,"0,4907042206",0,NO,NA,NA,NA,0.6609375,187,94,1592,Tropical Wet,5.5,9,FALSE,"(5,10]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,0.6609375,0.5591050819839158,0.31259849270024126
40,7,40,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,0,417,NA,NA,NA,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,40,40,88,43,1015,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,NA,t C ha-1,Done,"52,80","45 543,00","45 543,00",52.8,11.396137937040102,"73,90","8,60","8,60",73.9,8.6,0.6515625,"1,440625",YES,"0,3362016372","248001,426",NO,NA,NA,NA,0.7890625,187,94,1592,Tropical Wet,20,40,TRUE,"(15,25]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[15,30)",FALSE,TRUE,0.7890625,0.8923108165215887,0.7962185932814244
41,7,41,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,1,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,10,10,81,43,86,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,estSD,t C ha-1,Done,"27,70",NA,NA,27.7,5.978655698030508,"29,50",NA,NA,29.5,5.122002108027784,0.596875,"0,7046875",YES,"0,06295785015",0,NO,NA,NA,NA,0.10781249999999998,187,94,1592,Tropical Wet,5,10,TRUE,"(0,5]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,0.10781249999999998,0.49204305241574187,0.2421063654306005
42,7,42,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,1,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,1,10,9,95,43,92,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,estSD,t C ha-1,Done,"25,10",NA,NA,25.1,5.417482239009594,"33,10",NA,NA,33.1,5.7470599923972765,0.0546875,"0,578125",YES,"0,2766654362",0,NO,NA,NA,NA,0.5234375,187,94,1592,Tropical Wet,5.5,9,FALSE,"(5,10]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,0.5234375,0.4936226590782276,0.24366332955546013
43,7,43,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Erythrina poeppigiana",2,2,0,1,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,40,40,88,43,89,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,NA,t C ha-1,Done,"52,80","45 543,00","45 543,00",52.8,11.396137937040102,"62,60","8,11","8,11",62.6,8.11,0.6515625,"1,2875",YES,"0,1702540874","248001,4271",NO,NA,NA,NA,0.6359375,187,94,1592,Tropical Wet,20,40,TRUE,"(15,25]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[15,30)",FALSE,TRUE,0.6359375,0.8742051297644188,0.7642346089064243
44,7,44,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,0,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,10,10,81,43,89,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,estSD,t C ha-1,Done,"27,70",NA,NA,27.7,5.978655698030508,"35,50",NA,NA,35.5,6.163765248643604,0.596875,"0,98125",YES,"0,2481002833",0,NO,NA,NA,NA,0.3843749999999999,187,94,1592,Tropical Wet,5,10,TRUE,"(0,5]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,0.3843749999999999,0.5366866156536735,0.28803252342179386
45,7,45,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,0,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,1,10,9,95,43,77,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,estSD,t C ha-1,Done,"25,10",NA,NA,25.1,5.417482239009594,"39,00",NA,NA,39,6.771460414002833,0.0546875,"1,134375",YES,"0,4406938",0,NO,NA,NA,NA,1.0796875,187,94,1592,Tropical Wet,5.5,9,FALSE,"(5,10]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[0,15)",TRUE,TRUE,1.0796875,0.5419935350037909,0.2937569919859055
46,7,46,2020,"Chatterjee, Nilovna; Nair, P. K. Ramachandran; Nair, Vimala D.; Bhattacharjee, Abhishek; Virginio Filho, Elias de Melo; Muschler, Rheinhold G.; Noponen, Martin R. A.",English,Article,10.3390/f11010049,http://dx.doi.org/10.3390/f11010049,The error is the random normal error.,LMP,Cropland,Full sun,NA,Coffea arabica,1,1,0,0,Cropland,Shaded perennial,Coffee,NA,"Coffea arabica,Terminalia amazonia",2,2,0,0,417,NA,NA,Organic_T vs. Conv_C,Costa Rica,9°53'44''N,83°40'7''W,9.89555555555556,-83.6686111111111,685,2600,22,NA,Cambisols,0,40,40,88,43,83,43,BACI,16,Sugar cane,cropland,cropland,3,3,Table 8,NA,t C ha-1,Done,"52,80","45 543,00","45 543,00",52.8,11.396137937040102,"74,50","8,11","8,11",74.5,8.11,0.6515625,"2,115625",YES,"0,3442879347","248001,4255",NO,NA,NA,NA,1.4640625,187,94,1592,Tropical Wet,20,40,TRUE,"(15,25]",-83.6686111111111,9.89555555555556,Cocoa/Coffee,Shaded perennial,1,A:<0/+1,Before-After Designs,Cropland,"[15,30)",FALSE,TRUE,1.4640625,0.8742051297644188,0.7642346089064243
119,9,119,2021,"Morales Ruiz, Danilo E.; Aryal, Deb R.; Pinto Ruiz, Rene; Guevara Hernandez, Francisco; Casanova Lugo, Fernando; Villanueva Lopez, Gilberto",English,Article,10.1002/ldr.3761,http://dx.doi.org/10.1002/ldr.3761,"DISPERSED TREES.We don't have standard deviation, but we have standard error. The biomass data has been measured for the trees only, and the above ground biomass is in kg of dry weight, so I just made *0,5 to have it in carbon unit. SOC data is in carbon content.",LMP,Grassland,Full sun,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris",3,0,3,0,Grassland,SilvoPasture,Pasture,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris,Haematoxylum campechianum,Byrsonima crassifolia,Schizolobium parahyba,Bursera bipinnata,Cordia dodecandra,Sassafras albidum,Coccoloba uvifera,Anona squamosal,Leucaena leucocephala,Bauhinia ungulate,Tremelloscyphya gelatinosa,Gliricidia sepium,Guazuma ulmifolia",16,12,4,5,NA,NA,grazing_both,NA,Mexico,16°42'N,93°00'W,16.7,-93,550,1200,24,NA,Luvisols,0,10,10,78,0,52,0,CI,12.6820185614849,Tropical dry forest until 35 years ago and then maize cultivation until 10-15 years ago,cropland,cropland,10,10,Table 4,SE,%,Done,"1,60","0,2 SE","0,63",12.48,4.93,"3,60","0,2 SE","0,63",18.72,3.29,NA,NA,YES,"0,4054651081","0,01871141975",YES,"0,3565714286",NA,NA,NA,232,136,1893,Tropical Moist,5,10,TRUE,"(0,5]",-93,16.7,Pasture,SilvoPasture,13,C+2+,Control-Impact Designs,Cropland,"[0,15)",FALSE,FALSE,0.49203523632671414,0.4673524342245183,0.2184182977755827
120,9,120,2021,"Morales Ruiz, Danilo E.; Aryal, Deb R.; Pinto Ruiz, Rene; Guevara Hernandez, Francisco; Casanova Lugo, Fernando; Villanueva Lopez, Gilberto",English,Article,10.1002/ldr.3761,http://dx.doi.org/10.1002/ldr.3761,"DISPERSED TREES.We don't have standard deviation, but we have standard error. The biomass data has been measured for the trees only, and the above ground biomass is in kg of dry weight, so I just made *0,5 to have it in carbon unit. SOC data is in carbon content.",LMP,Grassland,Full sun,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris",3,0,3,0,Grassland,SilvoPasture,Pasture,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris,Haematoxylum campechianum,Byrsonima crassifolia,Schizolobium parahyba,Bursera bipinnata,Cordia dodecandra,Sassafras albidum,Coccoloba uvifera,Anona squamosal,Leucaena leucocephala,Bauhinia ungulate,Tremelloscyphya gelatinosa,Gliricidia sepium,Guazuma ulmifolia",16,12,4,5,NA,NA,grazing_both,NA,Mexico,16°42'N,93°00'W,16.7,-93,550,1200,24,NA,Luvisols,10,20,10,79,0,56,0,CI,12.6820185614849,Tropical dry forest until 35 years ago and then maize cultivation until 10-15 years ago,cropland,cropland,10,10,Table 4,SE,%,Done,"1,70","0,2 SE","0,63",13.43,5,"2,90","0,3 SE","0,95",16.24,5.31,NA,NA,YES,"0,1899863242","0,02454237623",YES,"0,1605714286",NA,NA,NA,232,136,1893,Tropical Moist,15,10,FALSE,"(10,15]",-93,16.7,Pasture,SilvoPasture,13,C+2+,Control-Impact Designs,Cropland,"[15,30)",FALSE,FALSE,0.22157355994840808,0.5751107855678741,0.33075241567649727
121,9,121,2021,"Morales Ruiz, Danilo E.; Aryal, Deb R.; Pinto Ruiz, Rene; Guevara Hernandez, Francisco; Casanova Lugo, Fernando; Villanueva Lopez, Gilberto",English,Article,10.1002/ldr.3761,http://dx.doi.org/10.1002/ldr.3761,"DISPERSED TREES.We don't have standard deviation, but we have standard error. The biomass data has been measured for the trees only, and the above ground biomass is in kg of dry weight, so I just made *0,5 to have it in carbon unit. SOC data is in carbon content.",LMP,Grassland,Full sun,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris",3,0,3,0,Grassland,SilvoPasture,Pasture,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris,Haematoxylum campechianum,Byrsonima crassifolia,Schizolobium parahyba,Bursera bipinnata,Cordia dodecandra,Sassafras albidum,Coccoloba uvifera,Anona squamosal,Leucaena leucocephala,Bauhinia ungulate,Tremelloscyphya gelatinosa,Gliricidia sepium,Guazuma ulmifolia",16,12,4,5,NA,NA,grazing_both,NA,Mexico,16°42'N,93°00'W,16.7,-93,550,1200,24,NA,Luvisols,20,30,10,80,0,65,0,CI,12.6820185614849,Tropical dry forest until 35 years ago and then maize cultivation until 10-15 years ago,cropland,cropland,10,10,Table 4,SE,%,Done,"1,50","0,1 SE","0,32",12,2.53,"2,70","0,2 SE","0,63",17.55,4.11,NA,NA,YES,"0,3801473001","0,009931412894",YES,"0,3171428571",NA,NA,NA,232,136,1893,Tropical Moist,25,10,FALSE,"(15,25]",-93,16.7,Pasture,SilvoPasture,13,C+2+,Control-Impact Designs,Cropland,"[15,30)",FALSE,FALSE,0.4376274938482796,0.3805610431534185,0.14482670756601804
122,9,122,2021,"Morales Ruiz, Danilo E.; Aryal, Deb R.; Pinto Ruiz, Rene; Guevara Hernandez, Francisco; Casanova Lugo, Fernando; Villanueva Lopez, Gilberto",English,Article,10.1002/ldr.3761,http://dx.doi.org/10.1002/ldr.3761,"LIVE FENCE. We don't have standard deviation, but we have standard error. The biomass data has been measured for the trees only, and the above ground biomass is in kg of dry weight, so I just made *0,5 to have it in carbon unit. SOC data is in carbon content.",LMP,Grassland,Full sun,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris",3,0,3,0,Grassland,Hedgerow,Pasture,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris,Haematoxylum campechianum,Byrsonima crassifolia,Schizolobium parahyba,Bursera bipinnata,Cordia dodecandra,Sassafras albidum,Coccoloba uvifera,Anona squamosal,Leucaena leucocephala,Bauhinia ungulate,Tremelloscyphya gelatinosa,Gliricidia sepium,Guazuma ulmifolia",16,12,4,5,NA,NA,grazing_both,NA,Mexico,16°42'N,93°00'W,16.7,-93,550,1200,24,NA,Luvisols,0,10,10,78,0,68,0,CI,12.6820185614849,Tropical dry forest until 35 years ago and then maize cultivation until 10-15 years ago,cropland,cropland,10,10,Table 4,SE,%,Done,"1,60","0,2 SE","0,63",12.48,4.93,"2,70","0,2 SE","0,63",18.36,4.3,NA,NA,YES,"0,3860470223","0,02111196845",YES,"0,336",NA,NA,NA,232,136,1893,Tropical Moist,5,10,TRUE,"(0,5]",-93,16.7,Pasture,Alley/Hedgerow,13,C+2+,Control-Impact Designs,Cropland,"[0,15)",FALSE,FALSE,0.4636485880770961,0.5158312197161039,0.26608184723380346
123,9,123,2021,"Morales Ruiz, Danilo E.; Aryal, Deb R.; Pinto Ruiz, Rene; Guevara Hernandez, Francisco; Casanova Lugo, Fernando; Villanueva Lopez, Gilberto",English,Article,10.1002/ldr.3761,http://dx.doi.org/10.1002/ldr.3761,"LIVE FENCE. We don't have standard deviation, but we have standard error. The biomass data has been measured for the trees only, and the above ground biomass is in kg of dry weight, so I just made *0,5 to have it in carbon unit. SOC data is in carbon content.",LMP,Grassland,Full sun,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris",3,0,3,0,Grassland,Hedgerow,Pasture,NA,"Hyparrhenia rufa,Brachiaria dictyoneura,Cenchrus ciliaris,Haematoxylum campechianum,Byrsonima crassifolia,Schizolobium parahyba,Bursera bipinnata,Cordia dodecandra,Sassafras albidum,Coccoloba uvifera,Anona squamosal,Leucaena leucocephala,Bauhinia ungulate,Tremelloscyphya gelatinosa,Gliricidia sepium,Guazuma ulmifolia",16,12,4,5,NA,NA,grazing_both,NA,Mexico,16°42'N,93°00'W,16.7,-93,550,1200,24,NA,Luvisols,10,20,10,79,0,70,0,CI,12.6820185614849,Tropical dry forest until 35 years ago and then maize cultivation until 10-15 years ago,cropland,cropland,10,10,Table 4,SE,%,Done,"1,70","0,2 SE","0,63",13.43,5,"2,30","0,2 SE","0,63",16.1,4.43,NA,NA,YES,"0,1813282615","0,02140226712",YES,"0,1525714286",NA,NA,NA,232,136,1893,Tropical Moist,15,10,FALSE,"(10,15]",-93,16.7,Pasture,Alley/Hedgerow,13,C+2+,Control-Impact Designs,Cropland,"[15,30)",FALSE,FALSE,0.21053430785133462,0.5267447836273669,0.27746006707864157
